source_id,full_name,edition,publisher,kind,url,note
BBRS10,Massachusetts State Building Code (780 CMR) — Base Volume,10th Edition,Commonwealth of Massachusetts BBRS,code,https://www.mass.gov/orgs/board-of-building-regulations-and-standards,Adopts and amends IRC/IBC 2021 + IECC 2021 with MA modifications. Effective 2023.
IECC2021,International Energy Conservation Code,2021,International Code Council,code,https://codes.iccsafe.org/content/IECC2021P2,Federal baseline for energy code; chapter R4 residential prescriptive paths.
IRC2021,International Residential Code,2021,International Code Council,code,https://codes.iccsafe.org/content/IRC2021P2,Chapter 11 (energy efficiency) parallels IECC residential. Tables N1102.1.2/3.
MA_STRETCH,Massachusetts Stretch Energy Code,225 CMR 22 (2023),DOER,code,https://www.mass.gov/info-details/stretch-energy-code-development-2022-amendments,Opt-in code more stringent than base; adopted by ~300 of 351 MA municipalities.
MA_SPECIALIZED,Massachusetts Specialized Opt-In Stretch Code,225 CMR 23 Appendix RC (2023),DOER,code,https://www.mass.gov/info-details/specialized-opt-in-municipal-energy-code,Most stringent MA pathway; required all-electric ready and net-zero pathway. Required for many large new construction projects.
ASHRAE_HOF,ASHRAE Handbook of Fundamentals,2021,ASHRAE,standard,https://www.ashrae.org/technical-resources/ashrae-handbook,Source for film R-values, framing fractions, and parallel-path method (Ch 25/27).
ASHRAE622,ANSI/ASHRAE Standard 62.2 — Ventilation and Acceptable IAQ in Residential Buildings,2022,ASHRAE,standard,https://www.ashrae.org/technical-resources/standards-and-guidelines,Whole-building and local-exhaust ventilation rates.
ASHRAE901,ANSI/ASHRAE/IES Standard 90.1 — Energy Standard for Buildings Except Low-Rise Residential,2022,ASHRAE,standard,https://www.ashrae.org/technical-resources/standards-and-guidelines,Appendix A documents prescriptive assembly U-factors.
ASHRAE902,ANSI/ASHRAE Standard 90.2 — Energy-Efficient Design of Low-Rise Residential Buildings,2018,ASHRAE,standard,https://www.ashrae.org/technical-resources/standards-and-guidelines,Residential-specific minimums; complements 62.2 and IECC.
BPI1100,ANSI/BPI-1100-T-2023 — Standard Practice for Home Energy Auditing,2023,Building Performance Institute,standard,https://www.bpi.org/standards/standards-development,Auditor-grade audit procedures; component R-value lookups in Annex.
BPI1200,ANSI/BPI-1200-S-2017 — Standard Practice for Basic Analysis of Buildings,2017,Building Performance Institute,standard,https://www.bpi.org/standards/standards-development,N-factor table; CFM50/ACH50 procedures.
BPI2400,ANSI/BPI-2400-S-2015 — Standard Practice for Standardized Qualification of Whole-House Energy Savings Predictions,2015,Building Performance Institute,standard,https://www.bpi.org/standards/standards-development,Statistical validation of predicted savings; SIR.
DOE_SWS,DOE Standard Work Specifications for Single Family Housing,2017,U.S. Dept. of Energy WAP,guidance,https://sws.nrel.gov/,Weatherization Assistance Program reference assemblies and procedures.
NFRC100,NFRC 100 — Procedure for Determining Fenestration Product U-factors,2022,National Fenestration Rating Council,test_method,https://www.nfrc.org/standards-and-rating-documents,Whole-window U-factor test/simulation method.
NFRC200,NFRC 200 — Procedure for Determining Fenestration Product Solar Heat Gain Coefficient,2022,NFRC,test_method,https://www.nfrc.org/standards-and-rating-documents,Whole-window SHGC method.
NFRC400,NFRC 400 — Procedure for Determining Fenestration Product Air Leakage,2022,NFRC,test_method,https://www.nfrc.org/standards-and-rating-documents,Air leakage in CFM/ft² @ 75 Pa.
NFRC500,NFRC 500 — Procedure for Determining Fenestration Product Condensation Resistance Values,2022,NFRC,test_method,https://www.nfrc.org/standards-and-rating-documents,Condensation Resistance (CR).
NFRC_CPD,NFRC Certified Product Directory,Online (queried 2026-04-26),NFRC,product_data,https://search.nfrc.org/search/Searchdefault.aspx,Manufacturer-certified whole-unit performance values.
ASTM_C518,ASTM C518 — Steady-State Heat Flux Measurements via Heat Flow Meter,Latest,ASTM International,test_method,https://www.astm.org/c0518.htm,Heat-flow-meter test for thermal resistance of insulation samples.
ASTM_C1363,ASTM C1363 — Thermal Performance of Building Materials and Envelope Assemblies (Hot Box),Latest,ASTM International,test_method,https://www.astm.org/c1363.htm,Hot-box test for whole-assembly performance.
ASTM_C1289,ASTM C1289 — Specification for Faced Rigid Cellular Polyisocyanurate Thermal Insulation Board,Latest,ASTM International,standard,https://www.astm.org/c1289.htm,Polyiso product spec; LTTR per CAN/ULC S770.
ASTM_C578,ASTM C578 — Specification for Rigid Cellular Polystyrene Thermal Insulation,Latest,ASTM International,standard,https://www.astm.org/c0578.htm,EPS and XPS product spec; Type designations.
ICC_ES,ICC Evaluation Service Reports,Various,ICC-ES,product_data,https://icc-es.org/,Product-specific evaluation reports citing ASTM tests.
ENERGY_CALC,BRND-AI Building Energy Calculator,v2 (2026),BRND-AI internal,guidance,internal,Internal MA-specific calculator embedding 11 ASHRAE-derived weather stations and parallel-path effective-R formulas; consistent with ASHRAE HOF.
