assembly_id,type,name,description,framing,spacing_in,cavity_material,cavity_r_nominal,ci_material,ci_r,sheathing_material,sheathing_r,exterior_finish,interior_finish,framing_factor,r_clear_path,r_framing_path,r_effective,u_effective,calc_method,source_id,source_section,ma_compliant_base,ma_compliant_stretch,ma_compliant_specialized,note
ENV.FND.SLAB_R10_2FT,slab_edge,"Slab on grade with R-10 XPS perimeter, 2 ft depth, no under-slab","Slab on grade with R-10 XPS perimeter, 2 ft depth, no under-slab",none,24,xps,10.0,none,0.0,none,0.0,none,none,0,11.93,1.93,11.9,0.0838,ASHRAE_parallel,IECC2021,R402.1.2 / Table R402.1.1 footnote,yes,no,no,"MA base code requires R-10, 2 ft for CZ5. Vertical or horizontal."
ENV.FND.SLAB_R10_4FT_R10UNDER,slab_edge,Slab on grade with R-10 XPS perimeter (4 ft) + R-10 under-slab,Slab on grade with R-10 XPS perimeter (4 ft) + R-10 under-slab,none,24,xps,10.0,xps,10.0,none,0.0,none,none,0,21.93,11.93,21.9,0.0456,ASHRAE_parallel,MA_STRETCH,225 CMR 22,yes,yes,no,Under-slab R-10 plus deeper perimeter; cuts slab-edge losses substantially. Approaches Passive House detailing.
ENV.FND.SLAB_R20_4FT_R20UNDER,slab_edge,Slab on grade with R-20 XPS perimeter + R-20 under-slab,Slab on grade with R-20 XPS perimeter + R-20 under-slab,none,24,xps,20.0,xps,20.0,none,0.0,none,none,0,41.93,21.93,41.9,0.0238,ASHRAE_parallel,MA_SPECIALIZED,225 CMR 23 RC4.4,yes,yes,yes,Passive House-grade slab assembly. Capillary break (poly + gravel). Required for net-zero pathway.
ENV.FND.BSMT_INT_R15_2x4FG_DRYWALL,basement_wall,"Basement wall, interior R-15 2x4 wall + FG, drywall","Basement wall, interior R-15 2x4 wall + FG, drywall",2x4,16,fiberglass,15.0,none,0.0,none,0.0,none,none,0.25,16.93,6.3,11.9,0.084,ASHRAE_parallel,IECC2021,R402.1.2 / R402.2.7,yes,no,no,Most-common MA basement finish. Risk of mold if condensation occurs behind framing — requires capillary break and air seal.
ENV.FND.BSMT_EXT_R15XPS,basement_wall,"Basement wall, exterior R-15 XPS, dampproofed","Basement wall, exterior R-15 XPS, dampproofed",none,24,xps,15.0,none,0.0,none,0.0,none,none,0,16.93,1.93,16.9,0.0591,ASHRAE_parallel,BPI1100,Annex A,yes,no,no,Best practice for new construction: keeps masonry warm and dry. Protect XPS above grade with parge/coating.
ENV.FND.BSMT_INT_R10XPS_R13FG_DRYWALL,basement_wall,"Basement, R-10 XPS direct-applied + 2x4/R-13 FG, drywall","Basement, R-10 XPS direct-applied + 2x4/R-13 FG, drywall",2x4,16,fiberglass,13.0,xps,10.0,none,0.0,none,none,0.25,24.93,16.3,22.0,0.0454,ASHRAE_parallel,MA_STRETCH,225 CMR 22,yes,yes,no,XPS as capillary break + thermal layer; framed wall inboard. Total R~22; controls condensation in CZ5/6.
ENV.FND.BSMT_INT_R20CCSPF,basement_wall,"Basement wall, 3"" ccSPF on bare concrete, no studwall","Basement wall, 3"" ccSPF on bare concrete, no studwall",none,24,cc_spf,20.0,none,0.0,none,0.0,none,none,0,21.93,1.93,21.9,0.0456,ASHRAE_parallel,ICC_ES,Manufacturer ESR,yes,yes,no,ccSPF directly on poured concrete or CMU. Acts as capillary + air + vapor barrier. Thermal-barrier coverage required if exposed (15-min code).
ENV.FND.CRAWL_VENTED_FLR,crawlspace_wall,Vented crawlspace — insulation in floor assembly above (see ENV.FLOOR rows),Vented crawlspace — insulation in floor assembly above (see ENV.FLOOR rows),none,24,none,0.0,none,0.0,none,0.0,none,none,0,1.93,1.93,1.9,0.5181,ASHRAE_parallel,IRC2021,R408,n/a,no,no,"Vented crawl: insulate the floor above, not the crawl walls. 1 sf NFA per 150 sf crawl floor (or 1:1500 with ground vapor retarder per R408.2)."
ENV.FND.CRAWL_CONDITIONED_R15XPS,crawlspace_wall,"Conditioned (sealed) crawl, R-15 XPS on crawl walls","Conditioned (sealed) crawl, R-15 XPS on crawl walls",none,24,xps,15.0,none,0.0,none,0.0,none,none,0,16.93,1.93,16.9,0.0591,ASHRAE_parallel,IRC2021,R408.3,yes,yes,no,"Unvented/conditioned crawl per IRC R408.3: continuous vapor retarder on ground sealed to walls; insulate walls and rim, not floor; mechanical exhaust or supply air required."
ENV.FND.FPSF_R10VERT_R10WING,slab_edge,"Frost-protected shallow foundation, R-10 vertical + R-10 horizontal wing","Frost-protected shallow foundation, R-10 vertical + R-10 horizontal wing",none,24,xps,10.0,xps,10.0,none,0.0,none,none,0,21.93,11.93,21.9,0.0456,ASHRAE_parallel,IRC2021,R403.3,yes,yes,no,FPSF approved for heated buildings per IRC R403.3 / ASCE 32. Wing dimension per Figure R403.3(1) for site air-freezing index. Eliminates need to dig to frost depth.
