ci_id,name,material,r_per_in_nominal,r_per_in_aged,density_pcf,vapor_perm,water_absorb_pct,flame_spread,smoke_developed,typical_use,source_id,source_section,note
CI.EPS_TYPE_I,EPS Type I (1.0 pcf),eps,3.85,3.85,1.0,2.0,4.0,25,250,Below grade & cavity fill,ASTM_C578,Type I,Bead-board EPS; vapor-open; lowest cost; not for high-traffic areas. R/in stable over time (no blowing-agent loss).
CI.EPS_TYPE_II,EPS Type II (1.5 pcf),eps,4.17,4.17,1.5,1.7,3.0,25,250,Below grade walls & slab edge,ASTM_C578,Type II,Common below-grade and CI choice. R-value stable.
CI.EPS_TYPE_IX,EPS Type IX (2.0 pcf),eps,4.35,4.35,2.0,1.5,2.0,25,250,Roofing & high-load applications,ASTM_C578,Type IX,Higher density EPS for roof and below slab.
CI.XPS_TYPE_X,XPS Type X (15 psi),xps,5.00,4.50,1.30,1.1,0.3,25,250,Cavity & exterior CI,ASTM_C578,Type X,Aged R per LTTR; HFC blowing agents being phased out (HFO replacement). Foam manufacturers transitioning 2021–2025.
CI.XPS_TYPE_IV,XPS Type IV (25 psi),xps,5.00,4.50,1.55,1.0,0.3,25,250,Below grade walls & slab,ASTM_C578,Type IV,Below-grade workhorse; closed-cell; resists water absorption.
CI.XPS_TYPE_VII,XPS Type VII (60 psi),xps,5.00,4.50,2.20,0.8,0.3,25,250,Under slab & high-load roof,ASTM_C578,Type VII,For under-slab high-load applications.
CI.POLYISO_FOIL,Polyiso (foil-faced) — aged LTTR,polyiso,6.50,5.70,2.0,0.03,1.5,25,200,Wall & roof CI; commercial roof,ASTM_C1289,Type I,Aged value per CAN/ULC S770 LTTR. Foil facer makes vapor impermeable. R drops at sub-40 °F service temps in cold climates (be conservative for Boston).
CI.POLYISO_GLASS,Polyiso (glass-faced),polyiso,6.20,5.40,2.0,0.5,2.0,25,200,Wall CI under siding,ASTM_C1289,Type II,Glass-mat facer is more vapor-permeable than foil. Aged R drops more in cold service.
CI.MINERAL_WOOL_BD,Mineral wool board (semi-rigid),mineral_wool,4.20,4.20,8.0,>30,1.0,0,0,Exterior CI under siding & roof,ASTM_C518,—,Vapor-open; non-combustible (Class A); does not lose R over time. Common products: Rockwool Comfortboard 80/110.
CI.WOOD_FIBER,Wood-fiber insulation board,wood_fiber,3.70,3.70,9.5,15,12.0,200,500,Exterior CI under siding,ASTM_C518,—,Vapor-open; renewable. Products: Gutex/Steico/TimberHP. Class B/C flame.
CI.CC_SPF_2LB,Closed-cell spray polyurethane foam (2 lb/ft³),cc_spf,7.00,6.50,2.0,1.0,2.0,25,450,Cavity fill & rim joist; below grade interior,ICC_ES,—,Aged R; functions as vapor retarder Class II at 2"; structural strengthening of stud walls; thermal-barrier code requires 15-min coverage if exposed.
CI.OC_SPF_HALFLB,Open-cell spray polyurethane foam (~0.5 lb/ft³),oc_spf,3.70,3.70,0.5,16,3.0,25,450,Interior cavity & ceiling,ICC_ES,—,Vapor-open. Not for below grade. Class III vapor retarder. Thermal-barrier code requires 15-min coverage if exposed.
CI.PHENOLIC,Phenolic foam board,phenolic,8.50,7.50,2.5,0.05,0.5,25,75,Specialty roof & wall CI,ASTM_C518,—,Highest R per inch; limited US availability; can be acidic — historical issues with corrosion of steel fasteners. Verify product.
