assembly_id,type,name,description,framing,spacing_in,cavity_material,cavity_r_nominal,ci_material,ci_r,sheathing_material,sheathing_r,exterior_finish,interior_finish,framing_factor,r_clear_path,r_framing_path,r_effective,u_effective,calc_method,source_id,source_section,ma_compliant_base,ma_compliant_stretch,ma_compliant_specialized,note
ENV.WALL.2x4_16OC_R13FG_VNYL,wall,"2x4 16 o.c., R-13 FG batt, vinyl","2x4 16 o.c., R-13 FG batt, vinyl",2x4,16,fiberglass,13.0,none,0.0,osb,0.63,vinyl,drywall_half,0.25,15.54,6.92,11.8,0.0844,ASHRAE_parallel,BPI1100,Annex A — Component R-values,no,no,no,Common pre-2008 MA construction. Below current code minimum without CI.
ENV.WALL.2x4_16OC_R15FG_VNYL,wall,"2x4 16 o.c., R-15 high-density FG, vinyl","2x4 16 o.c., R-15 high-density FG, vinyl",2x4,16,fiberglass_hd,15.0,none,0.0,osb,0.63,vinyl,drywall_half,0.25,17.54,6.92,12.7,0.0789,ASHRAE_parallel,BPI1100,Annex A — Component R-values,no,no,no,High-density FG batt fills 2x4 cavity to R-15. Still below MA code base for new construction.
ENV.WALL.2x4_16OC_R15MW_VNYL,wall,"2x4 16 o.c., R-15 mineral wool, vinyl","2x4 16 o.c., R-15 mineral wool, vinyl",2x4,16,mineral_wool,15.0,none,0.0,osb,0.63,vinyl,drywall_half,0.25,17.54,6.92,12.7,0.0789,ASHRAE_parallel,ASHRAE_HOF,Ch. 26 Table 4,no,no,no,Mineral wool batt; better fire and acoustic performance than FG.
ENV.WALL.2x4_16OC_R13_R5XPS_VNYL,wall,"2x4 + R-5 XPS CI, vinyl","2x4 + R-5 XPS CI, vinyl",2x4,16,fiberglass,13.0,xps,5.0,osb,0.63,vinyl,drywall_half,0.25,20.54,11.91,17.4,0.0575,ASHRAE_parallel,IECC2021,R402.1.3,yes,no,no,IECC R402.1.3 prescriptive option 'R-13 + R-5 ci' for CZ5. Meets MA base code.
ENV.WALL.2x4_16OC_R13_R10POLYISO_FC,wall,"2x4 + R-10 polyiso CI, fiber-cement","2x4 + R-10 polyiso CI, fiber-cement",2x4,16,fiberglass,13.0,polyiso,10.0,osb,0.63,fiber_cement,drywall_half,0.25,25.1,16.48,22.2,0.0451,ASHRAE_parallel,MA_STRETCH,225 CMR 22,yes,yes,yes,Exceeds IECC R402.1.3; meets MA Stretch with margin. Polyiso aged R per CAN/ULC S770.
ENV.WALL.2x6_16OC_R19FG_VNYL,wall,"2x6 16 o.c., R-19 FG batt, vinyl","2x6 16 o.c., R-19 FG batt, vinyl",2x6,16,fiberglass,19.0,none,0.0,osb,0.63,vinyl,drywall_half,0.22,21.54,9.41,16.8,0.0596,ASHRAE_parallel,BPI1100,Annex A — Component R-values,yes,no,no,"Common 1990s–2000s MA wall. Compresses to ~R-18 at 5.5""; below current code base without CI."
ENV.WALL.2x6_16OC_R21FG_VNYL,wall,"2x6 16 o.c., R-21 high-density FG, vinyl","2x6 16 o.c., R-21 high-density FG, vinyl",2x6,16,fiberglass_hd,21.0,none,0.0,osb,0.63,vinyl,drywall_half,0.22,23.54,9.41,17.7,0.0565,ASHRAE_parallel,IECC2021,R402.1.2,yes,no,no,Meets IECC Table R402.1.2 'R-20' cavity-only path for CZ5. Standard MA base-code wall.
ENV.WALL.2x6_16OC_R23MW_FC,wall,"2x6 16 o.c., R-23 mineral wool, fiber-cement","2x6 16 o.c., R-23 mineral wool, fiber-cement",2x6,16,mineral_wool,23.0,none,0.0,osb,0.63,fiber_cement,drywall_half,0.22,25.1,8.97,18.0,0.0556,ASHRAE_parallel,ASHRAE_HOF,Ch. 26 Table 4,yes,no,no,Rockwool R-23 fits 2x6 cavity. Vapor-open; non-combustible.
ENV.WALL.2x6_16OC_R21CELL_VNYL,wall,"2x6 16 o.c., R-21 dense-pack cellulose, vinyl","2x6 16 o.c., R-21 dense-pack cellulose, vinyl",2x6,16,cellulose,21.0,none,0.0,osb,0.63,vinyl,drywall_half,0.22,23.54,9.41,17.7,0.0565,ASHRAE_parallel,DOE_SWS,3.1101.5 Wall cavity insulation,yes,no,no,Dense-pack cellulose at 3.5 pcf; minimal settling; vapor-open. Common WAP retrofit.
ENV.WALL.2x6_16OC_R21FG_R5XPS_VNYL,wall,"2x6 + R-5 XPS CI, vinyl","2x6 + R-5 XPS CI, vinyl",2x6,16,fiberglass_hd,21.0,xps,5.0,osb,0.63,vinyl,drywall_half,0.22,28.54,14.41,23.5,0.0426,ASHRAE_parallel,MA_STRETCH,225 CMR 22 — high-perf path,yes,yes,yes,Sheathing-side R-5 CI moves dewpoint outboard; controls condensation in CZ5/6. Meets MA Stretch.
