assembly_id,type,name,description,framing,spacing_in,cavity_material,cavity_r_nominal,ci_material,ci_r,sheathing_material,sheathing_r,exterior_finish,interior_finish,framing_factor,r_clear_path,r_framing_path,r_effective,u_effective,calc_method,source_id,source_section,ma_compliant_base,ma_compliant_stretch,ma_compliant_specialized,note
ENV.ROOF.VENTED_R30_LF,ceiling,"Vented attic, R-30 loose-fill cellulose on ceiling deck","Vented attic, R-30 loose-fill cellulose on ceiling deck",none,24,cellulose,30.0,none,0.0,osb,0.63,none,drywall_half,0,31.23,1.23,31.2,0.032,ASHRAE_parallel,DOE_SWS,3.1201 Attic insulation,no,no,no,"Common WAP retrofit. Air seal ceiling plane first; baffles maintain 1"" venting at eaves."
ENV.ROOF.VENTED_R38_LF,ceiling,"Vented attic, R-38 loose-fill cellulose","Vented attic, R-38 loose-fill cellulose",none,24,cellulose,38.0,none,0.0,osb,0.63,none,drywall_half,0,39.23,1.23,39.2,0.0255,ASHRAE_parallel,IECC2021,R402.1.2,yes,no,no,Meets IECC 2021 CZ5 ceiling minimum (R-49 with energy credit; R-38 allowed if 100% cavity coverage).
ENV.ROOF.VENTED_R49_LF,ceiling,"Vented attic, R-49 loose-fill cellulose","Vented attic, R-49 loose-fill cellulose",none,24,cellulose,49.0,none,0.0,osb,0.63,none,drywall_half,0,50.23,1.23,50.2,0.0199,ASHRAE_parallel,MA_STRETCH,225 CMR 22,yes,yes,no,MA Stretch Code attic R-value for CZ5. Standard for new MA construction.
ENV.ROOF.VENTED_R60_LF,ceiling,"Vented attic, R-60 loose-fill cellulose","Vented attic, R-60 loose-fill cellulose",none,24,cellulose,60.0,none,0.0,osb,0.63,none,drywall_half,0,61.23,1.23,61.2,0.0163,ASHRAE_parallel,MA_SPECIALIZED,225 CMR 23 RC4.4,yes,yes,yes,Recommended for high-performance / Passive House. Requires raised-heel truss for full depth at eaves.
ENV.ROOF.CATHEDRAL_2x10_R30FG_ASPH,ceiling,"Cathedral ceiling, 2x10 16 o.c., R-30 FG batt, asphalt shingle","Cathedral ceiling, 2x10 16 o.c., R-30 FG batt, asphalt shingle",2x10,16,fiberglass,30.0,none,0.0,osb,0.63,asphalt_shingle,drywall_half,0.2,31.67,13.23,24.8,0.0404,ASHRAE_parallel,BPI1100,Annex A,no,no,no,"9.25"" cavity barely fits R-30 batt; vent baffle reduces effective depth. Many older MA homes."
ENV.ROOF.CATHEDRAL_2x12_R38FG_ASPH,ceiling,"Cathedral ceiling, 2x12 16 o.c., R-38 FG batt, asphalt shingle","Cathedral ceiling, 2x12 16 o.c., R-38 FG batt, asphalt shingle",2x12,16,fiberglass,38.0,none,0.0,osb,0.63,asphalt_shingle,drywall_half,0.18,39.67,15.73,31.1,0.0321,ASHRAE_parallel,IECC2021,R402.2.2,yes,no,no,"Vented cathedral path; 1"" min air space above batt with vent baffle."
ENV.ROOF.UNVENTED_2x10_R45CCSPF_ASPH,ceiling,"Unvented cathedral, 2x10 16 o.c., R-45 ccSPF flush-fill","Unvented cathedral, 2x10 16 o.c., R-45 ccSPF flush-fill",2x10,16,cc_spf,45.0,none,0.0,osb,0.63,asphalt_shingle,drywall_half,0.2,46.67,13.23,31.0,0.0323,ASHRAE_parallel,IRC2021,R806.5,yes,no,no,Unvented assembly per IRC R806.5; ccSPF on underside of roof deck must meet condensation-control R-value (CZ5: R-20 min ccSPF for condensation control).
ENV.ROOF.UNVENTED_2x10_R45_R20POLYISO_ASPH,ceiling,Hybrid unvented cathedral: 2x10 + R-20 polyiso above deck,Hybrid unvented cathedral: 2x10 + R-20 polyiso above deck,2x10,16,fiberglass,30.0,polyiso,20.0,osb,0.63,asphalt_shingle,drywall_half,0.2,51.67,33.23,46.5,0.0215,ASHRAE_parallel,MA_SPECIALIZED,225 CMR 23 RC4.4,yes,yes,no,Above-deck polyiso CI moves dewpoint outboard; permits FG batt below. Common for Passive House. Verify roof structural for added load.
ENV.ROOF.UNVENTED_2x10_R30CCSPF_R10POLYISO,ceiling,Hybrid: R-30 ccSPF cavity + R-10 polyiso above deck,Hybrid: R-30 ccSPF cavity + R-10 polyiso above deck,2x10,16,cc_spf,30.0,polyiso,10.0,osb,0.63,asphalt_shingle,drywall_half,0.2,41.67,23.23,36.0,0.0278,ASHRAE_parallel,MA_STRETCH,225 CMR 22,yes,no,no,Hybrid approach widely used in MA retrofits where above-deck CI alone is impractical.
ENV.ROOF.RAISED_HEEL_R49_LF,ceiling,Raised-heel truss with full R-49 loose-fill at eaves,Raised-heel truss with full R-49 loose-fill at eaves,none,24,cellulose,49.0,none,0.0,osb,0.63,none,drywall_half,0,50.23,1.23,50.2,0.0199,ASHRAE_parallel,MA_STRETCH,225 CMR 22,yes,yes,no,"12"" raised heel ensures full R-49 depth maintained over top plate. Recommended detail."
ENV.ROOF.FLAT_2x10_R30CCSPF,ceiling,"Flat roof, 2x10, R-30 ccSPF flush-fill, EPDM membrane","Flat roof, 2x10, R-30 ccSPF flush-fill, EPDM membrane",2x10,16,cc_spf,30.0,none,0.0,osb,0.63,none,drywall_half,0.2,31.23,12.79,24.2,0.0413,ASHRAE_parallel,IRC2021,R806.5,no,no,no,Common addition/dormer assembly. Below new MA code without supplemental rigid; include for retrofit baseline.
ENV.ROOF.FLAT_R30CC_R20POLYISO,ceiling,"Flat roof, R-30 ccSPF + R-20 polyiso above deck, TPO membrane","Flat roof, R-30 ccSPF + R-20 polyiso above deck, TPO membrane",2x10,16,cc_spf,30.0,polyiso,20.0,osb,0.63,none,drywall_half,0.2,51.23,32.79,46.1,0.0217,ASHRAE_parallel,MA_SPECIALIZED,225 CMR 23,yes,yes,no,High-performance flat-roof assembly; total ~R-50; controls condensation per ratio rule.
